GeneID	Length	MR1_expression	MR2_expression	KLA1_expression	KLA2_expression	logFC	Pvalue	FDR
AC154912.5	1708	0.49	0.21	0.03	0.03	-3.397913335	0.00110289	0.186848558
Gm16976	1472.71	0.27	0.66	0.07	0	-3.387823097	0.00110289	0.186848558
Hcn2	3195	0.02	0.02	0.28	0.07	3.087623224	0.00110289	0.186848558
Cebpd	3746	44.99	34.77	11.38	15.07	-1.534589781	0.001112137	0.186848558
Ido1	1560	1.84	0.31	3.36	3.22	1.688710238	0.001197829	0.199525497
Gm49425	985	0	0.07	1.09	0	3.610729958	0.001222088	0.201841313
Gm27252	689	2.7	1.91	0.91	0.08	-2.236857055	0.001268443	0.207736834
Ppp1ccb	1437	3.53	6.07	0	2.07	-1.665851032	0.001280241	0.207872987
Begain	1524.92	0.24	0.88	0.06	0.02	-2.688508352	0.001290607	0.207872987
Plin4	5755.28	0.61	1.25	0.32	0.29	-1.617624009	0.001401931	0.222747016
Krt33a	1683	0.04	0.07	0.82	0.08	2.892071249	0.001410202	0.222747016
Igha	1106.57	9.06	3.63	28	8.61	1.539842675	0.001417242	0.222747016
Gm46136	6329	1.05	0.39	0.25	0.2	-1.643833721	0.001490294	0.232092168
Depp1	1339	9.93	18.45	5.76	4.28	-1.527866773	0.001501313	0.232092168
Cxcl3	1126.4	0.28	2.73	9.16	0.91	1.652101103	0.001512818	0.232092168
Pvalb	953	0.39	0	0	1.92	2.481168071	0.001524337	0.232092168
Trbv17	374	0	0.72	1.95	4.15	2.996976423	0.001566863	0.23671785
Ampd3	3881.83	9.98	9.96	3.4	2.84	-1.491895473	0.001697709	0.254512722
Gm20521	1245	0.46	0.64	0	0.17	-2.635544588	0.001768904	0.258572258
Calcb	962	1.66	0.88	0.06	0.15	-2.635491533	0.001768904	0.258572258
Popdc3	1369	0.14	0.27	0	0	-5.654730195	0.001777858	0.258572258
MSTRG.31966	296	0	7.65	0	0	-5.650927279	0.001777858	0.258572258
Sgk1	2127.31	88.83	72.96	31.05	26.1	-1.463698425	0.001828121	0.25945532
3830417A13Rik	1000.5	0	0.04	0.26	0.27	3.582873614	0.001832619	0.25945532
Gm35147	1820	0	0.03	0.41	0.07	3.52018894	0.001832619	0.25945532
Aldh1a1	2022.47	5.2	5.36	2.47	1.13	-1.535039909	0.001837182	0.25945532
MSTRG.24368	618.05	36.29	26.68	4.31	15.94	-1.509016046	0.001858975	0.260644296
Gm37387	1806	0.85	0	0.15	0	-2.513682704	0.001878334	0.26108455
Pcdhga7	3568.36	0.3	0.25	0.09	0.07	-2.172381226	0.001888908	0.26108455
Cxcl2	1089.99	1.6	9.95	26.74	1.77	1.508793733	0.001915553	0.262417063
Dbp	1417.36	7.91	10.69	25.34	25.73	1.472395707	0.001934861	0.262417063
Chrna1	4386	0.82	2.7	0.44	0.75	-1.524684457	0.001949453	0.262417063
5031410I06Rik	2995	0.22	0.77	0.15	0.11	-1.932691483	0.001952408	0.262417063
Hspb7	2769	0.44	3.33	0.43	0.81	-1.56252741	0.002056351	0.274494713
Ckm	989.84	0.78	0.49	0.37	3.72	1.754648549	0.002110217	0.277079403
MSTRG.19524	632	17.29	5.2	42.15	19.02	1.491348645	0.0021113	0.277079403
Izumo1r	1056.46	0.34	0.47	1.26	0.89	2.093808644	0.002118366	0.277079403
Gm773	762	0.16	0	0	1.1	2.913509392	0.002237408	0.287652381
Nlgn1	5102.06	0.01	0.01	0.16	0.03	2.89101922	0.002237408	0.287652381
Adh1	1283.23	0.94	1.09	0.26	0.18	-1.989333014	0.002244113	0.287652381
Gm2260	657	1.69	4	9.47	7.88	1.618728422	0.002258239	0.287652381
G0s2	871	0	3.04	9.01	0.94	1.61497707	0.002406006	0.304484709
Trim71	9332	0.03	0.01	0.11	0.07	2.268290023	0.002435422	0.306218945
Mum1l1	4238.55	13.74	10.36	4.95	4.21	-1.418842951	0.002651509	0.320239727
Podn	3005.59	0.71	0.72	0.31	0.13	-1.716734472	0.002674437	0.320239727
Kcna5	2862	0.7	1.08	0.28	0.27	-1.65535867	0.002700844	0.320239727
Gm7666	819	15.12	1.02	4.44	1.04	-1.529150533	0.002722484	0.320239727
Nyap2	4764.8	0.1	0.01	0	0.01	-3.802581188	0.002768425	0.320239727
Hist1h3h	411	0.4	0	0	3.6	3.478766664	0.002768425	0.320239727
Ly6d	744	0.11	0	1.08	0.29	3.428769086	0.002768425	0.320239727
Dct	2361.94	0	0.02	0.12	0.13	3.415472672	0.002768425	0.320239727
2900060B14Rik	616	0.15	0	0.84	0.88	3.414073105	0.002768425	0.320239727
Gm47034	681	11.61	7.07	4.49	1.85	-1.533504517	0.002785769	0.320239727
Gm42503	3706	0.37	0.17	0.12	0.01	-2.083373146	0.002827702	0.320239727
Thbs4	3198	12.55	13.22	5.92	2.98	-1.410391542	0.002903286	0.320239727
Pcdhac2	5888	0.09	0	0	0	-5.526425213	0.002924864	0.320239727
Trav6d-7	358	4.68	0.2	0	0	-5.526425213	0.002924864	0.320239727
Trav6n-7	358	4.68	0.2	0	0	-5.526425213	0.002924864	0.320239727
Olfr1056	1503.32	0.33	0.12	0	0	-5.523474469	0.002924864	0.320239727
Prss57	495	0.13	0.07	0	0	-5.522491319	0.002924864	0.320239727
Gm20422	804.5	0	0.74	0	0	-5.516596974	0.002924864	0.320239727
Tyrp1	2623	0	0	0.23	0	5.488235991	0.002924864	0.320239727
Gm47251	794	0	0.01	0.76	0.17	5.478305055	0.002924864	0.320239727
Arfgef3	14579	0	0	0.03	0.01	5.474998257	0.002924864	0.320239727
Gm18329	589	0	0	0.91	0.52	5.471693239	0.002924864	0.320239727
Zglp1	401	0	0	1.34	0.62	5.465088605	0.002924864	0.320239727
Gm20708	1780	0	0.21	0	0.91	2.234754011	0.003066173	0.333836022
Krt20	1927	96.2	190.01	43.04	63.71	-1.384872372	0.003101021	0.335754442
A130012E19Rik	3135	0.29	0.02	0	0.03	-3.160974953	0.003211294	0.336477969
Gm26858	2040	0.3	0.17	0	0.03	-3.156873716	0.003211294	0.336477969
C730036E19Rik	1102	0.9	0.12	0.05	0.04	-3.155378162	0.003211294	0.336477969
Cfhr2	1296.23	0.53	0.21	0.05	0.04	-3.153737619	0.003211294	0.336477969
MSTRG.17608	614	1.77	0.54	0.12	0.1	-3.153737619	0.003211294	0.336477969
Gm26722	1048	0.49	0.55	0.11	0	-3.144848032	0.003211294	0.336477969
Fkbp5	3544.27	88.13	90.23	32.71	36.91	-1.372854203	0.003352588	0.346742502
Pax6os1	1464	0.42	0.49	0.11	0.03	-2.479495484	0.003361385	0.346742502
Gm26548	2029	0.49	0.17	0.1	0.02	-2.389042624	0.003362632	0.346742502
Gm48492	2705	0.94	0.19	0.21	0.11	-1.805257029	0.003386512	0.347367003
MSTRG.1771	1037	0.28	0.25	0.29	1.77	2.05130642	0.003466365	0.35369631
Gm42957	3624	0.74	0.61	0.44	0.02	-1.618933834	0.003543431	0.359676716
Dusp1	1815.14	29.87	16.89	11.42	6.57	-1.36081649	0.003935378	0.397391589
7420700N18Rik	1644	0.04	0	0.39	0.08	3.33911442	0.004213418	0.416828987
Fam228a	3004	0.03	0	0.18	0.07	3.336089555	0.004213418	0.416828987
Padi3	3072	0.02	0	0.15	0.08	3.330042249	0.004213418	0.416828987
Nsg2	2239	0.03	0	0.12	0.19	3.317957685	0.004213418	0.416828987
Cpxm1	1853.68	2	6.42	1.23	2.11	-1.389951142	0.004409158	0.433810285
Tnn	5518.54	0.32	0.58	0.19	0.11	-1.563882976	0.004516971	0.433810285
Toporsl	2668	0.59	0.25	0.11	0.11	-1.848002945	0.00451877	0.433810285
Vmn1r201	4741	0.12	0.12	0.03	0.02	-2.322960097	0.004519111	0.433810285
Gm43118	775	4.53	0	8.11	4.21	1.504923811	0.004613866	0.433810285
Galnt16	2680.43	0.35	0.44	0.12	0.1	-1.734604181	0.004628187	0.433810285
Insl3	623	7.13	3.81	3.83	0	-1.582963069	0.004631755	0.433810285
Krt14	1615.53	0.13	0.48	0.06	0	-3.140748733	0.004632641	0.433810285
P2ry1	2643.47	0	0.03	0.17	0.15	2.802200744	0.004632641	0.433810285
Igkv12-46	377	0.79	0	4.14	1.27	2.732435598	0.004632641	0.433810285
Cdh17	3462	0.05	0.09	0.21	0.34	1.936479088	0.0048482	0.433810285
Gm49510	2762	0	0	0.19	0	5.364557141	0.004874773	0.433810285
Igkv19-93	353.5	0	0	3.16	0.56	5.357721524	0.004874773	0.433810285
Cck	589.83	0	0	0.6	0.41	5.347484595	0.004874773	0.433810285
Krt26	2785.06	0	0	0.08	0.08	5.340671148	0.004874773	0.433810285
Ptprt	6595	0	0	0.02	0.21	5.340671148	0.004874773	0.433810285
Igkv6-13	359	0	0	1.09	2.33	5.337267819	0.004874773	0.433810285
MSTRG.7497	280	0	0	1.63	5.75	5.333866772	0.004874773	0.433810285
Ccdc36	2890	0	0	0	0.15	5.327071584	0.004874773	0.433810285
Gm26964	832	0	0	0	0.67	5.327071584	0.004874773	0.433810285
Gm49387	1739	0	0	0	0.27	5.327071584	0.004874773	0.433810285
Tceal7	971	0	0	0	0.56	5.327071584	0.004874773	0.433810285
Oplah	2722.68	1.52	11.43	33.51	1.78	1.320312725	0.00505763	0.447585228
Il1a	1974	1.02	1.13	3.77	2.03	1.431064209	0.005075496	0.447585228
MSTRG.32230	1293	20.84	13.68	10.17	3.48	-1.338221773	0.005132649	0.450586472
MSTRG.16193	338	51.5	67.25	23.68	20.2	-1.393262191	0.005172113	0.452014852
Xk	5076	0.45	0.15	0.1	0.07	-1.711769651	0.005300737	0.461187769
Itga10	3337.17	11.64	12.28	7.88	1.74	-1.313734652	0.005358783	0.464165911
Olfr1195	2585	1.21	0.73	0.18	0.11	-1.911045867	0.005434825	0.468669448
MSTRG.13849	633	1.68	3.85	0.92	0.65	-1.778121573	0.005557573	0.477143339
Mcf2l	1740.1	0.59	0.79	0.48	0.21	-1.577257258	0.005914477	0.505109959
Iqcg	5618	0.51	0.23	0.4	0.88	1.617443146	0.005988685	0.505109959
Angptl7	2157	0.66	0.76	0.21	0.21	-1.683396625	0.006073733	0.505109959
Mt2	511	2115.38	2971.4	992.16	1020.06	-1.280016332	0.006082961	0.505109959
4921514A10Rik	2116	0.09	0	0.44	0.12	2.608850846	0.006090658	0.505109959
4833411C07Rik	1437.95	0.1	0.05	0.28	0.57	2.583651626	0.006090658	0.505109959
MSTRG.12838	1072	0.8	0.48	0.05	0.18	-2.263587195	0.006090658	0.505109959
Gm10389	3173.23	0.25	0.23	0.06	0.04	-2.253685444	0.006090658	0.505109959
Il23a	1360	0.05	0.23	0.73	0.43	2.111358411	0.00617918	0.51027981
Cxcl10	1021.19	18.11	7.56	38.61	27.67	1.297583296	0.006207015	0.510415675
Gm1979	666	0.72	1.01	1.05	0.13	-1.645895248	0.006420495	0.520042605
Ccdc146	2180.32	0.62	0.05	0.04	0	-3.57741289	0.006461186	0.520042605
Ppp1r3c	2719	0.09	0.16	0	0.02	-3.576888129	0.006461186	0.520042605
Nxpe2	3366	0.14	0.67	0.01	0	-3.572802701	0.006461186	0.520042605
Coch	2456	0.43	0.09	0.06	0	-2.708238587	0.006484189	0.520042605
Gm17644	3200	0.2	0.1	0.04	0.02	-2.324878673	0.006484189	0.520042605
Apoa1	1035	0.66	0.58	1.66	0.98	1.799716552	0.006542311	0.522553654
Grin3a	7491	0.09	0.02	0.01	0.01	-3.062459724	0.006716867	0.532134236
Trav6n-6	326	0.43	0.77	1.73	3.59	2.711494579	0.006716867	0.532134236
Slc7a14	8897	0.03	0	0.09	0.06	2.219798932	0.006772936	0.53440387
Jchain	1398.32	6.69	1.93	15.98	5.17	1.300368944	0.007035038	0.552846182
MSTRG.24768	5081	1.35	1.66	0.78	0.43	-1.319258022	0.007246987	0.565991087
Olfr1217	3839	0.57	0.29	0.12	0.15	-1.586914192	0.007260392	0.565991087
Trbv29	353	9.37	0.83	0.76	1.21	-2.151843055	0.007457929	0.57270157
Slc22a17	2792.06	0.31	0.23	0.07	0.1	-2.14356996	0.007457929	0.57270157
Gm1821	685	9.22	17.07	5.21	5.09	-1.332560648	0.007479515	0.57270157
Gm44792	1628	0	0.54	1.14	0.7	1.680387912	0.007522787	0.57270157
Tnfsf18	2066	0.94	0.5	0.33	0.12	-1.662904924	0.007522787	0.57270157
Ptx3	1898	0.57	0.97	0.14	0.34	-1.60664185	0.007522787	0.57270157
Chl1	5436.03	1.15	0.97	0.5	0.39	-1.328175195	0.007609945	0.57708259
Cdx4	1963	1.03	0.79	0.48	0.15	-1.533373259	0.007640455	0.577150463
Sult6b1	2030.41	0.18	0.09	0.62	0.36	2.06824939	0.007829081	0.58237006
D530018E20Rik	958	0.46	0	1.21	0.67	2.060776655	0.007829081	0.58237006
Iglv1	391	0.72	1.29	4.07	4.19	2.05511643	0.007829081	0.58237006
Gm37194	3031	0.26	0.23	0.08	0.04	-1.977362893	0.007829081	0.58237006
Acer2	3753.31	0.97	1.13	0.34	0.35	-1.379647524	0.007898372	0.585290397
Serpina3n	2064	2.12	5.35	1.86	1.17	-1.307715916	0.008173604	0.5880028
Gal	712	0.12	0.21	0.58	1.33	2.522716369	0.008231265	0.5880028
Pdk4	3484	0.22	0.09	0.01	0.05	-2.191593726	0.008231265	0.5880028
Gm36079	573	0	0	1.36	0	5.229415574	0.008236686	0.5880028
Gm12587	427	0	0	1.9	0.38	5.222353047	0.008236686	0.5880028
Fcmr	769.5	0	0	0.24	0.08	5.21882585	0.008236686	0.5880028
Gm12319	357	0	0	2.21	1.17	5.215301384	0.008236686	0.5880028
4930556J02Rik	3076	0	0	0.08	0.07	5.211779664	0.008236686	0.5880028
Gm9866	1973	0	0	0.13	0.11	5.211779664	0.008236686	0.5880028
BC049987	934	0	0	0.2	0.38	5.204744519	0.008236686	0.5880028
Dusp2	1362.31	9.62	4.03	3.5	2.07	-1.286405813	0.008316917	0.589024091
Ccl28	3740	0.4	0.42	0.16	0.1	-1.608226376	0.008433405	0.589024091
Sept12	2049.02	0.22	0.44	0.89	1.07	1.60157206	0.008433405	0.589024091
Gm7331	387	6.09	0	5.41	11.33	1.580695735	0.008433405	0.589024091
Trbv13-1	366	47.95	3.02	17.88	1.37	-1.377130739	0.00847488	0.589024091
Fgf1	633.21	0.45	0.42	0.16	0.12	-1.543637935	0.008609316	0.589024091
Zfp935	1631	7.06	5.2	3.86	1.2	-1.282157672	0.008615202	0.589024091
Gm21671	2421	0.64	0.53	0.22	0.14	-1.636368364	0.00867532	0.589024091
AC167363.2	1046	2.54	0.69	0.86	0.18	-1.630731832	0.00867532	0.589024091
MSTRG.6695	900	0.18	0.23	1.11	0.75	2.173868727	0.00874119	0.589024091
Cacna1s	1001	0.12	0.2	0.78	0.74	2.167379406	0.00874119	0.589024091
MSTRG.29654	490	1.28	3.53	0.57	0.52	-2.050401364	0.00874119	0.589024091
Il1b	1356	12.01	21.54	45.12	35.83	1.232273549	0.008766901	0.589024091
Clca3a1	3588.57	56.13	40.52	22.97	17.69	-1.2233071	0.008775125	0.589024091
Gm47893	266	34.82	0	0	7.35	-1.947554098	0.00882713	0.589024091
Gm37589	3994	0.24	0.16	0.05	0.05	-1.925638676	0.00882713	0.589024091
Gm21762	707.36	0.28	0.34	1.76	1.29	1.922502636	0.00882713	0.589024091
E230001N04Rik	2318.23	2.95	0.92	0.96	0.54	-1.356170851	0.008848175	0.589024091
Speer4a	2980	0.5	0.97	0.17	0.34	-1.47601254	0.00887737	0.589024091
Cilp	4153	3.39	1.39	1.11	0.81	-1.268877827	0.008948297	0.589024091
Lcn2	913.63	6.09	22.81	9.29	2.97	-1.262926392	0.009053462	0.589024091
Gnao1	3240.97	0.16	0.12	0.03	0.01	-2.623754987	0.009054609	0.589024091
Gm42635	2571	0.17	0.19	0.06	0	-2.617526816	0.009054609	0.589024091
Lrrc3	4296	0.18	0.04	0.02	0.02	-2.245077625	0.009054609	0.589024091
Adm	1390	1.87	8.15	1.99	2.27	-1.304294409	0.009056916	0.589024091
Lancl3	3991	1.16	1.26	0.48	0.48	-1.308862352	0.009121911	0.589024091
Gm37206	3069	2.14	0.89	0.72	0.46	-1.330759788	0.009139963	0.589024091
Gm21663	2864	0.6	0.43	0.15	0.16	-1.629560575	0.009160047	0.589024091
Nfil3	2026	19.54	16.14	6.97	7.77	-1.228374551	0.009191784	0.589024091
Crispld2	4094.89	0.5	1.1	0.36	0.24	-1.366079187	0.009197731	0.589024091
Gm45515	2141	0.18	0.13	0.65	0.4	1.76308265	0.009218141	0.589024091
MSTRG.30600	1083	1.37	1.05	0.7	0.06	-1.757371065	0.009218141	0.589024091
Per1	4029.73	32.1	26.76	10.79	12.33	-1.215405423	0.009262437	0.589920403
Ptn	1614	2.33	0.62	5.96	1.39	1.318413878	0.009343654	0.591429794
Mt1	569.26	1656.52	1657.62	676.89	703.95	-1.211003947	0.00934683	0.591429794
Kif26a	6918	0.11	0.38	0.13	0.05	-1.482715934	0.00973774	0.600171689
Gm3931	455	2.04	1.39	0	0.33	-2.966276153	0.009786966	0.600171689
Gm26781	1477	0.49	0.12	0.04	0.03	-2.964104224	0.009786966	0.600171689
Gm47123	1742	0.34	0.16	0.05	0	-2.957578723	0.009786966	0.600171689
Alox8	3226	0	0.04	0.14	0.11	2.644195108	0.009786966	0.600171689
Gm47223	537	0.37	0	0	2.08	2.615802554	0.009786966	0.600171689
Igkv4-55	379	0.77	0	4.4	0.5	2.571687422	0.009786966	0.600171689
Gpr162	2094.07	0.81	0	1.6	0.43	1.376951773	0.009797624	0.600171689
Platr14	610.24	0.63	0	0.18	2.74	2.292843761	0.009838916	0.600171689
Fer1l5	1723	0.11	0.03	0.43	0.28	2.266974418	0.009838916	0.600171689
Cox20b	353	3.28	1.66	0	0.3	-3.4570109	0.009983359	0.600171689
Mfsd6l	2060	0.21	0.11	0.03	0	-3.452003859	0.009983359	0.600171689
Gm12796	344	0	4.89	0	0.32	-3.450353938	0.009983359	0.600171689
Platr17	807	0	0.12	0.8	0.18	3.135634428	0.009983359	0.600171689
Gm43429	2251	0	0.03	0.18	0.09	3.129221088	0.009983359	0.600171689
A430078I02Rik	2427	0.03	0	0.11	0.15	3.118212173	0.009983359	0.600171689
Aox3	4606	0.72	0.16	0.24	0.04	-1.601753203	0.010008507	0.600171689
